Q.No.,Date,Text,Asking Member,Addressed Ministry
3708,14-Mar-2023,Climatic Risk Factors,S. Jagathrakshakan,AGRICULTURE AND FARMERS WELFARE
3709,14-Mar-2023,Utilizing the Services of Agricultural Graduates,"C.N. Annadurai
Dhanush M Kumar
Ganesan Selvam
Manjulata Mandal",AGRICULTURE AND FARMERS WELFARE
3710,14-Mar-2023,Food Processing Parks,"Jugal Kishore Sharma
Haji Fazlur Rehman
Ajay Kumar Mandal
Sunil Kumar Pintu
Locket Chatterjee
Geeta Kora
Ramesh Chander Kaushik
Harish Dwivedi
Rajendra Agrawal",FOOD PROCESSING INDUSTRIES
3711,14-Mar-2023,Spread of Lumpy Disease,Hemant Patil,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING"
3712,14-Mar-2023,Promoting Strawberry Plantation,Shriniwas Dadasaheb Patil,COOPERATION
3713,14-Mar-2023,Food Processing Units in Gujarat,"Ratansinh Magansinh Rathod
Hasmukhbhai Somabhai Patel",FOOD PROCESSING INDUSTRIES
3714,14-Mar-2023,National Livestock Mission,"Shrikant Eknath Shinde
Heena Vijaykumar Gavit
Sujay Radhakrishna Vikhepatil
Unmesh Bhaiyyasaheb Patil
Rita Bahuguna Joshi
Krishna Pal Singh Yadav","FISHERIES, ANIMAL HUSBANDRY AND DAIRYING"
3715,14-Mar-2023,Computerisation of PACS,Tapir Gao,COOPERATION
3716,14-Mar-2023,World Press Freedom Index,Adala Prabhakara Reddy,INFORMATION AND BROADCASTING
3717,14-Mar-2023,Fisheries Development in Bihar,Alok Kumar Suman,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING"
3718,14-Mar-2023,Promotion of Electric Vehicles,"Brijbhushan Sharan Singh
Sangamlal Kadedin Gupta
P.P. Chaudhary
Ramapati Ram Tripathi
Pratap Chandra Sarangi",HEAVY INDUSTRIES
3719,14-Mar-2023,Withdrawing Cases against Farmers,Preneet Kaur,AGRICULTURE AND FARMERS WELFARE
3720,14-Mar-2023,States Opting out from PMFBY,"Arvind Ganpat Sawant
Sanjay Haribhau Jadhav
Jadon Chandra Sen",AGRICULTURE AND FARMERS WELFARE
3721,14-Mar-2023,"Inclusion of Ho, Bhumij and Mundari Languages in Eighth Schedule",Pinaki Misra,HOME AFFAIRS
3722,14-Mar-2023,Creating New Cooperatives,Debasree Chaudhuri,COOPERATION
3723,14-Mar-2023,Food Processing Units in Gujarat,"Ratansinh Magansinh Rathod
Hasmukhbhai Somabhai Patel",YOUTH AFFAIRS AND SPORTS
3724,14-Mar-2023,Violation of Human Rights,P. Ravindhranath,HOME AFFAIRS
3725,14-Mar-2023,Special Storage Facilities,"Mala Rajya Laxmi Shah
Pushpendra Singh Chandel",AGRICULTURE AND FARMERS WELFARE
3726,14-Mar-2023,Sub-Scheme of Pradhan Mantri Matsya Sampada Yojana,"Sukanta Majumdar
Vinod Kumar Sonkar
Sangeeta Kumari Singh Deo
Rajveer (Raju Bhaiya) Singh
Raja Amareshwara Naik
Bhola Singh
Jayanta Kumar Roy","FISHERIES, ANIMAL HUSBANDRY AND DAIRYING"
3727,14-Mar-2023,Vibrant Villages Programme,"Subhash Ramrao Bhamre
Amol Ramsing Kolhe
Sunil Dattatray Tatkare
Kuldeep Rai Sharma
Supriya Sadanand Sule
Dhanush M Kumar
Ganesan Selvam
DNV Senthilkumar. S.
C.N. Annadurai
Manjulata Mandal",HOME AFFAIRS
3728,14-Mar-2023,Drug Trafficking,Sanjay(Kaka) Ramchandra Patil,HOME AFFAIRS
3729,14-Mar-2023,Review of Criminal Laws,"P.R. Natarajan
Nama Nageswara Rao
Jagdambika Pal
T. R. Paarivendhar",HOME AFFAIRS
3730,14-Mar-2023,Fish Production,"Sanjay Haribhau Jadhav
Arvind Ganpat Sawant
Omprakash Bhupalsinh alias Pawan Rajenimbalkar
Jadon Chandra Sen","FISHERIES, ANIMAL HUSBANDRY AND DAIRYING"
3731,14-Mar-2023,Malted Milk Food Produced and Processed,Thirumaa Valavan Thol,FOOD PROCESSING INDUSTRIES
3732,14-Mar-2023,Depopulating Punjab,Harsimrat Kaur Badal,RURAL DEVELOPMENT
3733,14-Mar-2023,Impact of inclusion of OTT Communication Services within Ambit of Telecom Law,Dr. T. Sumathy (a) Thamizhachi Thangapandian,INFORMATION AND BROADCASTING
3734,14-Mar-2023,Quality of Milk,Janardan Singh Sigriwal,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING"
3735,14-Mar-2023,Wheat Sowing Area,"Prataprao Jadhav
Bidyut Baran Mahato
Sambhajirao Mane Dhairyasheel
Sanjay Sadashivrao Mandlik
Shrirang Appa Barne
Sudheer Gupta",AGRICULTURE AND FARMERS WELFARE
3736,14-Mar-2023,Lifeguard Coaches,S. Muniswamy,YOUTH AFFAIRS AND SPORTS
3737,14-Mar-2023,Setting-up of e-Mandis,Balak Nath,AGRICULTURE AND FARMERS WELFARE
3738,14-Mar-2023,Success under DAY-NRLM,"Y. S. Avinash Reddy
Manne Srinivas Reddy
Komati Reddy Venkat Reddy",RURAL DEVELOPMENT
3739,14-Mar-2023,Schemes for SCs and STs,"Satyadev Pachauri
Jagannath Sarkar",SOCIAL JUSTICE AND EMPOWERMENT
3740,14-Mar-2023,Expenditure incurred on Panchayats,Sandhya Ray,PANCHAYATI RAJ
3741,14-Mar-2023,Drug Seized by Central Agencies,Vijayakumar (alias) Vijay Vasanth,HOME AFFAIRS
3742,14-Mar-2023,Awas Plus Scheme,"Pritam Gopinath Munde
Girish Bhalchandra Bapat
Chandra Sekhar Sahu
Rahul Ramesh Shewale",HOME AFFAIRS
3743,14-Mar-2023,Setting up of Agricultural Universities and Colleges,"Devji Mansingram Patel
Devendrappa Y
Saikia Dilip",AGRICULTURE AND FARMERS WELFARE
3744,14-Mar-2023,Mushrooming Processed Food Items,Sarmistha Sethi,FOOD PROCESSING INDUSTRIES
3745,14-Mar-2023,Agro Processing Clusters,"Sunil Baburao Mendhe
Rajendra Agrawal",FOOD PROCESSING INDUSTRIES
3746,14-Mar-2023,IPS on Deputation,Manickam Tagore B,HOME AFFAIRS
3747,14-Mar-2023,Kisan Credit Card Scheme,"Gajendra Singh Patel
K. Shanmuga Sundaram",AGRICULTURE AND FARMERS WELFARE
3748,14-Mar-2023,SPMRM in Kerala,"Abdul Majeed Ariff
N.K. Premachandran",RURAL DEVELOPMENT
3749,14-Mar-2023,Inclusion of Languages in Eighth Schedule of the Constitution,"Naba (Hira) Kumar Sarania
Tirath Singh Rawat",HOME AFFAIRS
3750,14-Mar-2023,Investment in Jammu and Kashmir,"P.P. Chaudhary
Sangamlal Kadedin Gupta
Pratap Chandra Sarangi",HOME AFFAIRS
3751,14-Mar-2023,Central Funds under PMMSY,S. Ramalingam,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING"
3752,14-Mar-2023,Release of SDMF,"Pritam Gopinath Munde
Girish Bhalchandra Bapat
Chandra Sekhar Sahu
Rahul Ramesh Shewale",HOME AFFAIRS
3753,14-Mar-2023,Setting up of Agricultural Universities and Colleges,"Devji Mansingram Patel
Devendrappa Y
Saikia Dilip",AGRICULTURE AND FARMERS WELFARE
3754,14-Mar-2023,Auction of FM Radio,Gautham Sigamani Pon,INFORMATION AND BROADCASTING
3755,14-Mar-2023,"One Nation, One All India Radio",Vinayak Bhaurao Raut,INFORMATION AND BROADCASTING
3756,14-Mar-2023,Fact Finding Checks on Fake Reports,Sougata Ray,INFORMATION AND BROADCASTING
3757,14-Mar-2023,Pradhan Mantri Annadata Aay Sanrakshan Abhiyan,"Ranjeetsingh Naik Nimbalkar
Sudhakar Tukaram Shrangre
Saikia Dilip
Arun Sao
Devji Mansingram Patel
Sunil Kumar Singh",AGRICULTURE AND FARMERS WELFARE
3758,14-Mar-2023,Model Cooperative Village,"Rajiv Ranjan (Lalan) Singh
Santosh Kumar",COOPERATION
3759,14-Mar-2023,Updation of NRC,"Pradyut Bordoloi
A. Chellakumar",HOME AFFAIRS
3760,14-Mar-2023,Change in Shareholding Pattern of NDTV,Manish Tewari,INFORMATION AND BROADCASTING
3761,14-Mar-2023,Safety of Indian Fishermen,Sanjeev Kumar Singari,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING"
3762,14-Mar-2023,Protection of Couples in Inter-Caste Marriages,"Geetha Viswanath Vanga
Sanjay(Kaka) Ramchandra Patil",HOME AFFAIRS
3763,14-Mar-2023,e-Rupee,"Sambhajirao Mane Dhairyasheel
Sanjay Sadashivrao Mandlik",FINANCE
3764,13-Mar-2023,Loan to Adani Group,Deepak Baij,FINANCE
3765,13-Mar-2023,Assistance under RIDF,"Locket Chatterjee
Sunil Kumar Pintu",FINANCE
3766,13-Mar-2023,Appointment of VC in Central Universities,Rajmohan Unnithan,Education
3767,13-Mar-2023,Tamil as a Compulsory Subject in the KVs Running in Tamil Nadu,T. R. Paarivendhar,Education
3768,13-Mar-2023,Cash Circulation and Demonetization,Uttam Kumar Nalamada Reddy,FINANCE
3769,13-Mar-2023,Recruitments in ESI Hospitals,Kaushalendra Kumar,LABOUR AND EMPLOYMENT
3770,13-Mar-2023,PMKVY 4.0,"Hemant Tukaram Godse
Raja Amareshwara Naik",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
3771,13-Mar-2023,Amount spent on Ancient Monuments in Kangra and Chamba,Kishan Kapoor,CULTURE
3772,13-Mar-2023,Hospitals and Dispensaries under ESIC,"C.N. Annadurai
Ganesan Selvam",LABOUR AND EMPLOYMENT
3773,13-Mar-2023,Development of Tourist Places in Border Areas of Rajasthan,Nihal Chand Chauhan,TOURISM
3774,13-Mar-2023,Budgetary Allocation under PMKVY,"Chandra Sekhar Sahu
Girish Bhalchandra Bapat",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
3775,13-Mar-2023,Jan Shikshan Sansthan (JSS),"Heena Vijaykumar Gavit
Shrikant Eknath Shinde",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
3776,13-Mar-2023,Renovation and Reconstruction of Naamghars,Queen Oja,CULTURE
3777,13-Mar-2023,Education in Maithili Language,Gopal Jee Thakur,Education
3778,13-Mar-2023,Attack on Tamil Students in JNU,"A. Ganeshamurthi
Andimuthu Raja",Education
3779,13-Mar-2023,Misuse of Crypto-currency,P. Velusamy,FINANCE
3780,13-Mar-2023,Collection of Taxes and Devolution of Tax Revenues,Abdul Khaleque,FINANCE
3781,13-Mar-2023,Placement Target under PMKVY,"Rahul Ramesh Shewale
Pritam Gopinath Munde",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
3782,13-Mar-2023,Emission due to Household Cooking,"Brijendra Singh
Jagannath Sarkar","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3783,13-Mar-2023,Digital University,S. Jagathrakshakan,Education
3784,13-Mar-2023,AISHE Report on Enrolment of Students in Higher Education,"Sambhajirao Mane Dhairyasheel
Shrirang Appa Barne
Bidyut Baran Mahato
Sanjay Sadashivrao Mandlik
Sudheer Gupta
Prataprao Jadhav",Education
3785,13-Mar-2023,Funds for Tiger Protection,"Keshari Devi Patel
Sanghamitra Maurya
Jadon Chandra Sen","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3786,13-Mar-2023,Kasturba Gandhi Balika Vidyalayas,"Rita Bahuguna Joshi
Krishna Pal Singh Yadav
Unmesh Bhaiyyasaheb Patil
Shrikant Eknath Shinde
Sujay Radhakrishna Vikhepatil
Heena Vijaykumar Gavit",Education
3787,13-Mar-2023,Exemption of Export Tax on Refined Petrol,T. R. Paarivendhar,FINANCE
3788,13-Mar-2023,District Institutes of Education and Training,"Bhola Singh
Vinod Kumar Sonkar
Raja Amareshwara Naik",Education
3789,13-Mar-2023,Pollution in Mining Areas,Mahesh Sahoo,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3790,13-Mar-2023,Conservation and Development of Forests,"Ganesan Selvam
Kuldeep Rai Sharma
Manjulata Mandal
Subhash Ramrao Bhamre
Amol Ramsing Kolhe
C.N. Annadurai
Supriya Sadanand Sule
Sunil Dattatray Tatkare
DNV Senthilkumar. S.
Dhanush M Kumar","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3791,13-Mar-2023,Pollution due to NTPC Plants,"Ajay Kumar Mandal
Locket Chatterjee
Sunil Kumar Pintu","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3792,13-Mar-2023,Establishment of National Digital Library/ E-Library System,"Sukanta Majumdar
Raksha Nikhil Khadse
Jayanta Kumar Roy
Sangeeta Kumari Singh Deo
Rajveer (Raju Bhaiya) Singh
Vinod Kumar Sonkar
Raja Amareshwara Naik",Education
3793,13-Mar-2023,Amending the Existing Curriculum,"Pashupati Nath Singh
Dibyendu Adhikari",Education
3794,13-Mar-2023,Review of Elephant Corridors,"Bidyut Baran Mahato
Sambhajirao Mane Dhairyasheel
Prataprao Jadhav
Shrirang Appa Barne
Sanjay Sadashivrao Mandlik
Sudheer Gupta","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3795,13-Mar-2023,Growth of Insurance Sector,"Manjulata Mandal
Ganesan Selvam
Kuldeep Rai Sharma
Subhash Ramrao Bhamre
Amol Ramsing Kolhe
C.N. Annadurai
Supriya Sadanand Sule
DNV Senthilkumar. S.
Dhanush M Kumar",FINANCE
3796,13-Mar-2023,Digital Literacy for Tribal Children under NEP,Prabhubhai Nagarbhai Vasava,Education
3797,13-Mar-2023,PMKVY 1.0 to 3.0,Pradyut Bordoloi,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
3798,13-Mar-2023,Harassment under SARFAESI Act,Rajiv Ranjan (Lalan) Singh,FINANCE
3799,13-Mar-2023,Educational Schemes/Projects in the Country,Girish Chandra,Education
3800,13-Mar-2023,Development and Upgradation of Monuments in Meerut,Rajendra Agrawal,CULTURE
3801,13-Mar-2023,"Educational Projects in Andhra Pradesh, Karnataka, Maharashtra, West Bengal and the Andaman & Nicoba","Jaisiddeshwar Shivacharya Mahaswamiji
Goddeti Madhavi
Khan Saumitra
Kuldeep Rai Sharma
Umesh G. Jadhav
Annasaheb Shankar Jolle
Prathap Simha
Sanganna Amarappa Karadi
L.S. Tejasvi Surya
Kotagiri Sridhar",Education
3802,13-Mar-2023,Review of Fund Sharing Pattern of CSS,Pinaki Misra,FINANCE
3803,13-Mar-2023,CSR Spending in Haryana,Sunita Duggal,CORPORATE AFFAIRS
3804,13-Mar-2023,NIOS Examinations 2022,Dipsinh Shankarsinh Rathod,Education
3805,13-Mar-2023,National Career Service,"Gaurav Gogoi
Girish Chandra",LABOUR AND EMPLOYMENT
3806,13-Mar-2023,Delay in the Constitution of State Finance Commission,Chandra Prakash Joshi,FINANCE
3807,13-Mar-2023,Establishment of Polytechnic Colleges in M.P.,Uday Pratap Singh,Education
3808,13-Mar-2023,Development of Mahabodhi Temple,Vijay Kumar,TOURISM
3809,13-Mar-2023,Promotion of Bansidhar Mahotsava,Vishnu Dayal Ram,CULTURE
3810,13-Mar-2023,Tourism Projects Sanctioned in Uttar Pradesh,Upendra Singh Rawat,TOURISM
3811,13-Mar-2023,Fund Allocation for Rural Development,Nama Nageswara Rao,FINANCE
3812,13-Mar-2023,NCLT Benches,Ravi Kishan Shukla,CORPORATE AFFAIRS
3813,13-Mar-2023,Rise in Inflation Rate,Kalyan Banerjee,FINANCE
3814,13-Mar-2023,Sixth Scheduled Councils,Jamyang Tsering Namgyal,TRIBAL AFFAIRS
3815,13-Mar-2023,Projects under Samagra Shiksha Abhiyan,"Kalaben Mohanbhai Delkar
Gajanan Chandrakant Kirtikar",Education
3816,13-Mar-2023,CoP 26,Thalikkottai Rajuthevar Baalu,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3817,13-Mar-2023,Shifting from Minimum Wages to Living Wages,Nusrat Jahan Ruhi,LABOUR AND EMPLOYMENT
3818,13-Mar-2023,NCERT Survey March 2022,Jyotsna Charandas Mahant,Education
3819,13-Mar-2023,Deaths/Injuries due to Monkey Bites,Rajkumar Chahar,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3820,13-Mar-2023,Tribal Schools in West Bengal,Khan Saumitra,TRIBAL AFFAIRS
3821,13-Mar-2023,Employment Opportunities to Tribal Population,Khagen Murmu,TRIBAL AFFAIRS
3822,13-Mar-2023,Jawahar Navodaya Vidyalayas,Bhagirath Chaudhary,Education
3823,13-Mar-2023,Ongoing Schemes for Tribals,Ajay Nishad,TRIBAL AFFAIRS
3824,13-Mar-2023,Industrial Training Institutes in Rajasthan,Narendra Kumar,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
3825,13-Mar-2023,PM SHRI Scheme in Odisha,Basanta Kumar Panda,Education
3826,13-Mar-2023,Students Who lost their lifes/Parents during Corona Pandemic in Maharashtra,Omprakash Bhupalsinh alias Pawan Rajenimbalkar,Education
3827,13-Mar-2023,Tourism Projects for Kanniyakumari,Vijayakumar (alias) Vijay Vasanth,TOURISM
3828,13-Mar-2023,Impact of Hindenburg Report on Indian Corporate Sector,N.K. Premachandran,FINANCE
3829,13-Mar-2023,Promotion of Spiritual Tourism,Shyam Yadav Singh,TOURISM
3830,13-Mar-2023,Assessment and Accreditation of Higher Education Sector,E. T. Mohammed Basheer,Education
3831,13-Mar-2023,Skill India International Centres,"Kotha Prabhakar Reddy
Vinod Kumar Sonkar
Sukanta Majumdar
Bhola Singh
Sangeeta Kumari Singh Deo
Rajveer (Raju Bhaiya) Singh
Jayanta Kumar Roy
Dr. T. Sumathy (a) Thamizhachi Thangapandian",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
3832,13-Mar-2023,Literacy Rate among Muslim Community,Kunwar Danish Ali,Education
3833,13-Mar-2023,Ban on Single Use Plastic,Kotagiri Sridhar,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3834,13-Mar-2023,National Talent Search Scheme 2019 to 2021,D. Ravikumar,Education
3835,13-Mar-2023,Allocation of Funds for Literacy Programmes,Haji Fazlur Rehman,Education
3836,13-Mar-2023,Retention Rate of Students in Schools,Anubhav Mohanty,Education
3837,13-Mar-2023,Atal Pension Yojana,Giridhari Yadav,FINANCE
3838,13-Mar-2023,Encroachment of Monuments by Shopkeepers,Naranbhai Bhikhabhai Kachhadiya,CULTURE
3839,13-Mar-2023,Private Sector Participation for Up-keep of Monuments,Imtiaz Jaleel Syed,CULTURE
3840,13-Mar-2023,Enrollment of Girls in Government Schools in Bihar,Sanjay Jaiswal,Education
3841,13-Mar-2023,Financial Assistance for Development and Promotion of Tourism in Bihar,Chirag Paswan,TOURISM
3842,13-Mar-2023,Literacy Rate among Muslim Community,Bholanath (B.P. Saroj),Education
3843,13-Mar-2023,Impact of Russia-Ukraine War on Tourism Sector,"Ravindra Kushawaha
Ravi Kishan Shukla
Subrata Pathak",TOURISM
3844,13-Mar-2023,CSR Spent in Rajasthan,Kanakmal Katara,CORPORATE AFFAIRS
3845,13-Mar-2023,School Dropouts,Rajiv Pratap Rudy,Education
3846,13-Mar-2023,Rights of Scheduled Tribes,Achyutananda Samanta,TRIBAL AFFAIRS
3847,13-Mar-2023,Pre-primary and Upper Primary Schools in the Country,DNV Senthilkumar. S.,Education
3848,13-Mar-2023,People of Different Ethnics,Sunil Kumar Mondal,DEVELOPMENT OF NORTH EASTERN REGION
3849,13-Mar-2023,Data on People with Unaccounted Money,Santosh Kumar,FINANCE
3850,13-Mar-2023,Financial Assistance for Puducherry,Vaithilingam Ve.,FINANCE
3851,13-Mar-2023,ESI Hospitals in Haryana,Rattan Lal Kataria,LABOUR AND EMPLOYMENT
3852,13-Mar-2023,PMKVY,"Sangamlal Kadedin Gupta
P.P. Chaudhary
Pratap Chandra Sarangi",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
3853,13-Mar-2023,Jaduai Pitara,"Ramesh Bidhuri
Bheemrao Baswanthrao Patil",Education
3854,13-Mar-2023,Vacancies in Central Universities,Bhartruhari Mahtab,Education
3855,13-Mar-2023,Public Sector Banks,Sangeeta Azad,FINANCE
3856,13-Mar-2023,PMKVY in Bihar,Janardan Singh Sigriwal,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
3857,13-Mar-2023,CSR Defaulter Companies,Hasnain Masoodi,CORPORATE AFFAIRS
3858,13-Mar-2023,Imbalance in CSR Spending,Gaddam Ranjith Reddy,CORPORATE AFFAIRS
3859,13-Mar-2023,CSR Fund for CM’s Relief Fund,"Beesetti Venkata Satyavathi
Chandra Sekhar Bellana",CORPORATE AFFAIRS
3860,13-Mar-2023,TRIFED,Mohanbhai Kalyanji Kundariya,TRIBAL AFFAIRS
3861,13-Mar-2023,GST on Agricultural Equipment,Anumula Revanth Reddy,FINANCE
3862,13-Mar-2023,PMKVY,"Sangamlal Kadedin Gupta
P.P. Chaudhary
Pratap Chandra Sarangi",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
3863,13-Mar-2023,Delay in declaring the Results of Degree Courses,Ashok Mahadeorao Nete,Education
3864,13-Mar-2023,Loans under PMMY,"Karti P. Chidambaram
Jyotsna Charandas Mahant",FINANCE
3865,13-Mar-2023,Quality Education to Engineering Students,"Ramya Haridas
Ravneet Singh",Education
3866,13-Mar-2023,Investigation into the Stock Market Manipulation by Adani Group of Companies,T.N. Prathapan,FINANCE
3867,13-Mar-2023,Credit to MSMEs,Sanjay(Kaka) Ramchandra Patil,FINANCE
3868,13-Mar-2023,Bal Vatika/Kindergarten in Kendriya Vidyalayas,"Jaskaur Meena
Janardan Singh Sigriwal",Education
3869,13-Mar-2023,GDP Growth of India,Dibyendu Adhikari,FINANCE
3870,13-Mar-2023,Higher Education Council of India,P.R. Natarajan,Education
3871,13-Mar-2023,Rashtriya Swasthya Bima Yojana,Sisir Kumar Adhikari,LABOUR AND EMPLOYMENT
3872,13-Mar-2023,Transport Facilities in NER,"Raju Bista
Saikia Dilip",DEVELOPMENT OF NORTH EASTERN REGION
3873,13-Mar-2023,Delay in declaring the Results of Degree Courses,"K. Muraleedharan
Raju Bista","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3874,13-Mar-2023,Construction Around Monuments,Asaduddin Owaisi,CULTURE
3875,13-Mar-2023,Benefits to Tribal Population,Sunil Baburao Mendhe,TRIBAL AFFAIRS
3876,13-Mar-2023,Development of Ram Van Gaman Path,Rajyavardhan Singh Rathore,CULTURE
3877,13-Mar-2023,ATM Frauds,Rahul Kaswan,FINANCE
3878,13-Mar-2023,MUDRA Scheme in Uttar Pradesh,Jadon Chandra Sen,FINANCE
3879,13-Mar-2023,Scholarships for Higher Education,Jayant Sinha,Education
3880,13-Mar-2023,Release of DA Arrears to Central Government Employees and Pensioners,C. Lalrosanga,FINANCE
3881,13-Mar-2023,National Clean Air Programme,"Vinod Chavda
Arun Sao
Ramya Haridas
Sudhakar Tukaram Shrangre","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3882,13-Mar-2023,Coordination Between National Skill Programmes and Higher Education,Ratansinh Magansinh Rathod,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
3883,13-Mar-2023,Central Pollution Control Board,Gurjeet Singh Aujla,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3884,13-Mar-2023,Challenges Faced by Children with Chronic Illness in Accessing Education,Ranjeetsingh Naik Nimbalkar,Education
3885,13-Mar-2023,Benefit of Pradhan Mantri Jan Arogya Yojana (PMJAY),"Nishikant Dubey
Sunil Baburao Mendhe
Manoj Kumar Tiwari",LABOUR AND EMPLOYMENT
3886,13-Mar-2023,Layoffs in Multinational and Indian Companies,"S. Venkatesan
Nusrat Jahan Ruhi
Su Thirunavukkarasar
Bhartruhari Mahtab",LABOUR AND EMPLOYMENT
3887,13-Mar-2023,Transfer of GST Compensation Amount,Pocha Brahmananda Reddy,FINANCE
3888,13-Mar-2023,Data on Child Labour,"Vijay Baghel
Upendra Singh Rawat",LABOUR AND EMPLOYMENT
3889,13-Mar-2023,Afforestation Schemes,Gowdar Mallikarjunappa Siddeshwara,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3890,13-Mar-2023,Service Charges by Banks,Vishnu Dutt Sharma,FINANCE
3891,13-Mar-2023,Development of Sonbeel as Tourist Destination,Kripanath Mallah,DEVELOPMENT OF NORTH EASTERN REGION
3892,13-Mar-2023,Uday Kotak Committee on Corporate Governance,"Deepak (Dev) Adhikari
Khan Saumitra
Ravi Kishan Shukla","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3893,13-Mar-2023,Ph.D Holders in Science,"M V V Satyanarayana
Midhun Reddy",Education
3894,13-Mar-2023,GST Related Offences,Midhun Reddy,FINANCE
3895,13-Mar-2023,Vacant Teachers Posts in Schools/Colleges/Universities Administered by Central Government,Reddeppa Nallakonda Gari,Education
3896,13-Mar-2023,Centres for Tribal Culture,Ramesh Chandra Majhi,TRIBAL AFFAIRS
3897,13-Mar-2023,Engaging Children in Beedi Rolling Workers,Dr. T. Sumathy (a) Thamizhachi Thangapandian,LABOUR AND EMPLOYMENT
3898,13-Mar-2023,Proposal to Make Marathi Language as Classical Language,Shriniwas Dadasaheb Patil,CULTURE
3899,13-Mar-2023,Shortage of Workforce,M. P. Abdussamad Samadani,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
3900,13-Mar-2023,Recovery of NPAs by Union Bank of India,Gopal Chinayya Shetty,FINANCE
3901,13-Mar-2023,Capital Gains Tax Structure,Y. S. Avinash Reddy,FINANCE
3902,13-Mar-2023,Effects of Climate Change on Crops,"Deepak (Dev) Adhikari
Khan Saumitra
Ravi Kishan Shukla","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3903,13-Mar-2023,Medical Treatment in ESIC,Vinayak Bhaurao Raut,LABOUR AND EMPLOYMENT
3904,13-Mar-2023,Craftsmen Training Scheme in ITI,"Manoj Kishorbhai Kotak
Raksha Nikhil Khadse",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
3905,13-Mar-2023,Effects of Climate Change,Malook Nagar,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3906,13-Mar-2023,Effects of Air Pollution,V. Kalanidhi,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3907,13-Mar-2023,Identification of Protected Monuments in Udaipur,Arjunlal Meena,CULTURE
3908,13-Mar-2023,Transfer of Reserved Category Seats to General Category in IITs,A.K.P. Chinraj,Education
3909,13-Mar-2023,Setting up of Zoo,Ganesh Singh,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3910,13-Mar-2023,Take Over of Panipat Museum,Sanjay Bhatia,CULTURE
3911,13-Mar-2023,Decline in the Value of Indian Currency against US Dollars and Euro,Su Thirunavukkarasar,FINANCE
3912,13-Mar-2023,Poaching of Wild Animals,Goddeti Madhavi,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3913,13-Mar-2023,Medical Treatment in ESIC,Vinayak Bhaurao Raut,LABOUR AND EMPLOYMENT
3914,13-Mar-2023,Craftsmen Training Scheme in ITI,"Manoj Kishorbhai Kotak
Raksha Nikhil Khadse",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
3915,13-Mar-2023,Effects of Climate Change,Malook Nagar,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
3916,13-Mar-2023,Chip Design and Manufacturing,Kani K. Navas,Education
3917,13-Mar-2023,Implement of EPS-95 Pension Scheme,Kumbakudi Sudhakaran,LABOUR AND EMPLOYMENT
3918,13-Mar-2023,Option for Higher Pension Scheme,Sougata Ray,LABOUR AND EMPLOYMENT
3919,13-Mar-2023,Constitution of Committee to Investigate Adani Group,K. Subbarayan,FINANCE
3920,13-Mar-2023,Funds Allocated for Development of New Tourist Destinations,Arvind Ganpat Sawant,TOURISM
3921,13-Mar-2023,Research Park in Haryana and Madhya Pradesh,"Nayab Singh
Gyaneshwar Patil",Education
